,Designnummer,Anzahl,,,von Käfer,Lego bestellt,,,
,24309,66,,,,,,,
,24316,6,,,,6,,,
,25269,16,,,1,,,8,
,26047,28,,,,,10,16,
,26169,41,wie 4865,,2,,,,
,26287,1,,,,,,1,
,26599,4,,,,,,,
,26601,18,,,,8,,5,
,26603,7,,,,7,,,
,26604,7,,,,3,,,
,27261,12,,,,,6,6,
,27263,15,,,,,,,
,27507,32,,,,,,,
,28192,18,,,,18,,,
,28326,5,,,,4,,1,
,28802,17,wie 2436 und 10201,,,,,,
,28809,33,wie 18677,,,,,,
,28917,68,wie 2921 ,,4,,,,
,28973,19,wie 32555,,,,,,
,28974,14,wie 42446,,,,,,
,29119,18,,,,,,18,
,29120,18,,,,,,18,
,29219,44,wie 62462,,,,,,
,30000,27,,,,,,,
,30031,10,,,,,,,
,30044,8,,,,,,,
,30136,57,,,,,2,2,
,30137,7,,,,,,,
,30145,2,,,,,2,,
,30151,1,,,,,,1,
,30157,4,,,,,,,
,30162,35,,,,,,,
,30165,12,,,,,,,
,30228,2,,,,,,,
,30229,5,,,,,,,
,30236,3,,,,,,,
,30237,4,,,,,,,
,30285,1,,,,,,,
,30355,13,,,,,,,
,30356,11,,,,,,,
,30357,3,,,,,,,
,30359,2,,,,,,,
,30361,1,,,,1,,,
,30363,13,,,,,,,
,30364,13,,,,,,,
,30365,34,wie 54671,,,,,,
,30367,10,,,,,,1,
,30373,3,,,,,,,
,30374,15,wie 21462,,1,,,4,
,30377,45,in Kiste,,,,,,
,30382,2,,,,,,,
,30383,34,,,2,,,2,
,30387,2,wie 54661,,,,,,
,30388,4,wie 53914,,,,,,
,30390,1,,,,,,,
,30414,24,,,,,,2,
,30503,17,,,,,,,
,30504,2,,,,,,,
,30526,1,,,,,,,
,30541,8,,,,,,,
,30552,3,,,,,,,
,30553,23,wie 57360,,1,,,,
,30554,14,wie 54662,,,,,,
,30565,33,,,,,,,
,30586,10,,,,,,,
,30602,8,,,,,,,
,30663,3,wie 16091,,,,,,
,31493,38,wie 32064,,4,,,3,
,31959,1,wie 91501,,,,,,
,32000,58,,,,,,4,
,32001,12,,,,,,,
,32002,15,,,2,,,,
,32007,5,,,,,,,
,32009,7,,,,,,,
,32013,22,,,,,,,
,32014,13,,,,,,,
,32016,8,,,,,,3,
,32018,12,,,3,,,,
,32028,217,,,,,,5,
,32034,6,,,,,,,
,32039,25,wie 42135,,,,,,
,32054,104,wie 65304,,67,,,,
,32056,3,,,,,,,
,32059,5,,,,,,,
,32062,63,,,3,,,3,
,32063,2,,,,,,,
,32064,38,wie 31493,,4,,,3,
,32065,1,,,,,,,
,32068,2,,,,,,,
,32069,2,,,,,,,
,32072,3,,,,,,,
,32073,23,,,,,,,
,32123,53,,,9,,,2,
,32124,1,,,,,,,
,32126,1,,,,,,,
,32138,3,wie 65098,,,,,,
,32140,22,,,,,,,
,32184,25,,,,,10,2,
,32187,3,,,,,1,,
,32192,12,,,,,,,
,32209,6,wie 59426,,,,,,
,32249,6,,,,,,,
,32250,6,,,,,,,
,32270,6,,,,,,,
,32271,6,,,,,,,
,32278,10,wie 64871,,,1,4,2,
