Part,Color,Quantity,Is Spare
41682,19,5,False
3005,19,2,False
6111,19,2,False
3004,19,6,False
3009,19,2,False
3008,19,12,False
2456,19,5,False
6091,19,2,False
17485,19,4,False
68013,19,6,False
4070a,19,44,False
30136,19,50,False
4216,19,2,False
98283,19,4,False
11211,19,2,False
22885,19,2,False
60471,19,2,False
6231,19,2,False
4865b,19,6,False
87552,19,1,False
14718,19,2,False
3024,19,20,False
3023,19,21,False
3623,19,14,False
3710,19,2,False
78329,19,8,False
3460,19,49,False
2445,19,6,False
3022,19,44,False
2420,19,18,False
3021,19,8,False
3020,19,33,False
3795,19,4,False
11212,19,2,False
3032,19,2,False
3035,19,3,False
3958,19,2,False
3036,19,4,False
60897,19,14,False
49668,19,32,False
15573,19,41,False
60478,19,4,False
34103,19,34,False
41740,19,26,False
87580,19,1,False
33909,19,44,False
61409,19,2,False
54200,19,10,False
85984,19,4,False
50950,19,2,False
3747b,19,2,False
99008,19,5,False
6541,19,5,False
3700,19,13,False
2854,19,4,False
24246,19,4,False
3070b,19,54,False
3069b,19,153,False
63864,19,96,False
2431,19,12,False
6636,19,10,False
4162,19,11,False
14719,19,47,False
3068b,19,39,False
26603,19,9,False
87079,19,53,False
69729,19,3,False
35787,19,2,False
15712,19,83,False
27263,19,16,False
47397,19,2,False
47398,19,2,False
2450,19,2,False
41770,19,8,False
41769,19,8,False
60593,19,20,False
3066,40,1,False
3024,40,115,False
3023,40,10,False
82545b,47,1,False
82545c,47,1,False
82545a,47,1,False
6141,34,2,False
3065,41,2,False
3023,41,2,False
3069b,41,2,False
54200,182,8,False
6141,36,2,False
98313,15,32,False
93061,15,1,False
6190,15,14,False
48729b,15,4,False
78258,15,14,False
87994,15,23,False
30374,15,10,False
63965,15,13,False
11090,15,11,False
23443,15,13,False
38320,15,17,False
73825,15,25,False
99207,15,8,False
93274,15,44,False
41682,15,6,False
3005,15,45,False
6111,15,1,False
6112,15,29,False
2465,15,6,False
3004,15,23,False
3622,15,38,False
3010,15,29,False
3009,15,28,False
3008,15,2,False
3003,15,5,False
2357,15,1,False
3002,15,30,False
3001,15,2,False
3007,15,33,False
49307,15,6,False
6091,15,2,False
37352,15,3,False
78666,15,14,False
3062b,15,2,False
3941,15,11,False
4070a,15,8,False
87087,15,60,False
26604,15,2,False
30526,15,2,False
11211,15,4,False
3822,15,8,False
3821,15,8,False
37762,15,2,False
64644,15,2,False
3633,15,6,False
98397,15,5,False
73983,15,14,False
75c22,15,2,False
75c47,15,1,False
6231,15,8,False
4865b,15,6,False
23969,15,4,False
23950,15,3,False
15207,15,24,False
91501,15,2,False
3024,15,197,False
4477,15,29,False
60479,15,12,False
3023,15,36,False
3623,15,25,False
3710,15,50,False
3666,15,24,False
3460,15,11,False
3832,15,6,False
2445,15,6,False
4282,15,13,False
3022,15,22,False
2420,15,19,False
3021,15,69,False
3795,15,2,False
3034,15,15,False
11212,15,19,False
3031,15,13,False
2639,15,2,False
3032,15,6,False
3035,15,7,False
3033,15,5,False
6141,15,62,False
26047,15,2,False
61252,15,10,False
35480,15,2,False
44861,15,13,False
